"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","SUCCESS","2022-06-08T21:38:00.482-11:00[GMT-11:00]","0.0","2.55"
"Users CRUD test","This will login a user","SUCCESS","2022-06-08T21:38:03.051-11:00[GMT-11:00]","0.0","0.17"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-08T21:38:03.223-11:00[GMT-11:00]","0.0","0.19"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-08T21:38:03.411-11:00[GMT-11:00]","0.0","0.22"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-08T21:38:03.633-11:00[GMT-11:00]","0.0","0.13"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-08T21:38:03.758-11:00[GMT-11:00]","0.0","0.14"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-08T21:38:03.899-11:00[GMT-11:00]","0.0","0.14"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-08T21:38:04.040-11:00[GMT-11:00]","0.0","0.17"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-08T21:38:04.212-11:00[GMT-11:00]","0.0","0.11"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-08T21:38:04.321-11:00[GMT-11:00]","0.0","0.13"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-08T21:38:04.446-11:00[GMT-11:00]","0.0","0.14"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-08T21:38:04.589-11:00[GMT-11:00]","0.0","0.12"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-08T21:38:04.712-11:00[GMT-11:00]","0.0","0.13"
